movieId,title,genres,IMAX,Film-Noir,War,Mystery,Adventure,Horror,Western,Thriller,Crime,Musical,Fantasy,Animation,Children,Romance,Action,Comedy,(no genres listed),Sci-Fi,Documentary,Drama
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
2,Jumanji (1995),Adventure|Children|Fantasy,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
3,Grumpier Old Men (1995),Comedy|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
5,Father of the Bride Part II (1995),Comedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,Heat (1995),Action|Crime|Thriller,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
7,Sabrina (1995),Comedy|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
8,Tom and Huck (1995),Adventure|Children,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,Sudden Death (1995),Action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,GoldenEye (1995),Action|Adventure|Thriller,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11,"American President, The (1995)",Comedy|Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
12,Dracula: Dead and Loving It (1995),Comedy|Horror,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,Balto (1995),Adventure|Animation|Children,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
14,Nixon (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,Cutthroat Island (1995),Action|Adventure|Romance,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
16,Casino (1995),Crime|Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
17,Sense and Sensibility (1995),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
18,Four Rooms (1995),Comedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,Ace Ventura: When Nature Calls (1995),Comedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
21,Get Shorty (1995),Comedy|Crime|Thriller,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
23,Assassins (1995),Action|Crime|Thriller,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
24,Powder (1995),Drama|Sci-Fi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
25,Leaving Las Vegas (1995),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26,Othello (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,Now and Then (1995),Children|Drama,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
28,Persuasion (1995),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
31,Dangerous Minds (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
33,Wings of Courage (1995),Adventure|Romance|IMAX,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,Babe (1995),Children|Drama,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
35,Carrington (1995),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
36,Dead Man Walking (1995),Crime|Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
37,Across the Sea of Time (1995),Documentary|IMAX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,It Takes Two (1995),Children|Comedy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
39,Clueless (1995),Comedy|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
40,"Cry, the Beloved Country (1995)",Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,Richard III (1995),Drama|War,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,Dead Presidents (1995),Action|Crime|Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
43,Restoration (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,Mortal Kombat (1995),Action|Adventure|Fantasy,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
45,To Die For (1995),Comedy|Drama|Thriller,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
46,How to Make an American Quilt (1995),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1
49,When Night Is Falling (1995),Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
51,Guardian Angel (1994),Action|Drama|Thriller,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
53,Lamerica (1994),Adventure|Drama,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,"Big Green, The (1995)",Children|Comedy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
55,Georgia (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,Kids of the Round Table (1995),Adventure|Children|Fantasy,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
57,Home for the Holidays (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
61,Eye for an Eye (1996),Drama|Thriller,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
62,Mr. Holland's Opus (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
64,Two if by Sea (1996),Comedy|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
65,Bio-Dome (1996),Comedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
67,Two Bits (1995),Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,French Twist (Gazon maudit) (1995),Comedy|Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
69,Friday (1995),Comedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
71,Fair Game (1995),Action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72,Kicking and Screaming (1995),Comedy|Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
73,"Misérables, Les (1995)",Drama|War,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
